CUI,Description,DescriptionSource,Description-GPT
C0817096,"The upper part of the trunk between the NECK and the ABDOMEN. It contains the chief organs of the circulatory and respiratory systems. (From Stedman, 25th ed)",MSH,The thorax is the area between the neck and abdomen containing key organs for circulation and respiration.
C1457869,A failing or deficiency.,NCI,The image highlights the presence of a failing or deficiency in a medical context.
C0439228,"The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.",NCI,None
C0038894,The branch of medical science that treats disease or injury by operative procedures.,NCI,"Surgical treatment involves operating on the body to repair damage or remove disease, often done in a hospital setting."
C0037775,"The placement, arrangement of instance of entities within a space.",NCI,Spatial organization of entities in a confined area determined by their placement and arrangement within that space.
C0027651,"New abnormal growth of tissue. Malignant neoplasms show a greater degree of anaplasia and have the properties of invasion and metastasis, compared to benign neoplasms.",MSH,"Aggressive, invasive, and metastatic cancerous growth."
C0040405,Tomography using x-ray transmission and a computer algorithm to reconstruct the image.,MSH,"Highly detailed cross-sectional images of the body, highlighting internal structures for diagnostic purposes."
C1306645,An image produced on a radiosensitive surface by x-ray radiation that has penetrated and passed through a structure.,NCI,X-ray imaging shows internal structures by capturing the radiation that has passed through a person or object.
C0001168,None,None,None
C0012725,The process by which an emotional or behavioral response that is appropriate for one situation appears in another situation for which it is inappropriate.,MSH,A misdirected emotional or behavioral response in a different situation that is not appropriate.
C0524461,None,None,None
C0205145,A position in relation to its surroundings.,NCI,"The keyword describes the placement of an object relative to its surroundings, providing important context in medical settings."
C0444764,None,None,None
C0021107,A surgical procedure that places something in the human body.,NCI,"The image shows a surgical procedure being performed, with a medical professional inserting an object into a patient's body."
C1510412,"Not an aneurysm but a well-defined collection of blood and CONNECTIVE TISSUE outside the wall of a blood vessel or the heart. It is the containment of a ruptured blood vessel or heart, such as sealing a rupture of the left ventricle. False aneurysm is formed by organized THROMBUS and HEMATOMA in surrounding tissue.",MSH,"False aneurysm is a contained rupture of a blood vessel or heart, typically formed by organized thrombus and hematoma."
C0444706,Having been determined by measurement.,NCI,"Measurement determines illness severity, treatment effectiveness, and overall health status; essential for accurate diagnosis and monitoring progress."
C1696103,"<b>Description:</b>A characteristic representing a single file reference that contains two or more views of the same dosage form of the product; in most cases this should represent front and back views of the dosage form, but occasionally additional views might be needed in order to capture all of the important physical characteristics of the dosage form. Any imprint and/or symbol should be clearly identifiable, and the viewer should not normally need to rotate the image in order to read it. Images that are submitted with SPL should be included in the same directory as the SPL file.",HL7V3.0,"This is an image showing front and back views of a product, with clear imprints and symbols."
C1282910,"In anatomy, indicating higher than a given reference point.",NCI,"Above reference point, marked by arrow pointing upwards. Possible for height, volume, temperature, or level measurements."
C0577559,"A benign or malignant pathologic structure in any part of the body, resulting from a neoplastic accumulation of cells, inflammatory cells, or cystic changes.",NCI,"The image shows a medical structure in the body, possibly indicating a neoplastic accumulation of cells or inflammation."
C0227391,A segment of the COLON between the RECTUM and the descending colon.,MSH,"The image shows the sigmoid colon, a curved portion of the large intestine located before the rectum."
C0030705,"Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.",MSH,"Patients engage in health care for treatments, tests, or preventative measures. None"
C1261074,"The lobe of the right lung, situated above the horizontal fissure, which includes the apex.",NCI,Upper right lobe of the lung positioned above the horizontal fissure with included apex.
C0009244,"A directive form of psychotherapy based on the interpretation of situations (cognitive structure of experiences) that determine how an individual feels and behaves. It is based on the premise that cognition, the process of acquiring knowledge and forming beliefs, is a primary determinant of mood and behavior. The therapy uses behavioral and verbal techniques to identify and correct negative thinking that is at the root of the aberrant behavior.",MSH,Cognitive therapy focuses on correcting negative thinking patterns to improve mood and behavior through behavioral and verbal techniques.
C1699633,An imaging technique that combines a POSITRON-EMISSION TOMOGRAPHY (PET) scanner and a CT X RAY scanner. This establishes a precise anatomic localization in the same session.,MSH,This imaging technique combines PET and CT scanners for accurate anatomic localization in one session.
C0205217,None,None,None
C0046056,"The compound is given by intravenous injection to do POSITRON-EMISSION TOMOGRAPHY for the assessment of cerebral and myocardial glucose metabolism in various physiological or pathological states including stroke and myocardial ischemia. It is also employed for the detection of malignant tumors including those of the brain, liver, and thyroid gland. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1162)",MSH,The compound is used for PET scans to assess glucose metabolism and detect tumors in various physiological states.
C0456389,The physical magnitude of something.,NCI,The physical magnitude of something.
C0028259,"A small lump, swelling or collection of tissue.",NCI,"This medical keyword describes a small, localized growth or abnormality present in the body."
C0021485,None,None,None
C0233426,None,None,None
C0205126,Parallel to or in the plane of the horizon.,NCI,"The image shows a plane parallel to the horizon."
C0332463,None,None,None
C0205161,"Deviating in any way from the state, position, structure, condition, behavior, or rule which is considered a norm.",NCI,Abnormal deviation from norm in medical context.
C0017446,The continents and countries situated on those continents; the UNITED STATES and each of the constituent states arranged by region; CANADA and each of its provinces; AUSTRALIA and each of its states; the major bodies of water and major islands on both hemispheres; and selected major cities.,MSH,"The database includes geographic locations such as continents, countries, states, bodies of water, islands, and major cities."
C0441889,"A position on a scale measuring intensity, quality, or amount.",NCI,"The image depicts a clear and easy-to-read scale used in medical settings to measure intensity, quality, or amount."
C0439231,"One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.",NCI,None
