CUI,Description,DescriptionSource,Description-GPT
C0336721,None,None,None
C0030705,"Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.",MSH,"Patients seeking medical care for treatments, tests, or preventive measures from healthcare providers in the health care system."
C1696103,"<b>Description:</b>A characteristic representing a single file reference that contains two or more views of the same dosage form of the product; in most cases this should represent front and back views of the dosage form, but occasionally additional views might be needed in order to capture all of the important physical characteristics of the dosage form. Any imprint and/or symbol should be clearly identifiable, and the viewer should not normally need to rotate the image in order to read it. Images that are submitted with SPL should be included in the same directory as the SPL file.",HL7V3.0,"Images of product dosage form with multiple views, including imprint and symbol, should be easily identifiable without rotation."
C0040405,Tomography using x-ray transmission and a computer algorithm to reconstruct the image.,MSH,Tomography uses x-rays and a computer algorithm to create images by reconstructing data obtained through x-ray transmission.
C0221198,"A localized pathological or traumatic structural change, damage, deformity, or discontinuity of tissue, organ, or body part.",NCI,"An abnormal alteration in structure or function of a body part, caused by injury, disease, or genetic disorder."
C0000726,That portion of the body that lies between the THORAX and the PELVIS.,MSH,"The area between the chest and the lower abdomen is known as the medical term, ""abdomen."""
C0024485,Non-invasive method of demonstrating internal anatomy based on the principle that atomic nuclei in a strong magnetic field absorb pulses of radiofrequency energy and emit them as radiowaves which can be reconstructed into computerized images. The concept includes proton spin tomographic techniques.,MSH,Non-invasive imaging using strong magnetic fields and radio waves reconstructs computerized images of internal anatomy.
C0439231,"One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.",NCI,"A month is a 30-day division of the year based on the lunar cycle, corresponding to the moon's phases."
C0009244,"A directive form of psychotherapy based on the interpretation of situations (cognitive structure of experiences) that determine how an individual feels and behaves. It is based on the premise that cognition, the process of acquiring knowledge and forming beliefs, is a primary determinant of mood and behavior. The therapy uses behavioral and verbal techniques to identify and correct negative thinking that is at the root of the aberrant behavior.",MSH,Cognitive therapy focuses on changing negative thoughts to improve mood and behavior through behavioral and verbal techniques.
C0441889,"A position on a scale measuring intensity, quality, or amount.",NCI,"Summary: A medical keyword indicating a point on a scale measuring intensity, quality, or quantity."
C0577559,"A benign or malignant pathologic structure in any part of the body, resulting from a neoplastic accumulation of cells, inflammatory cells, or cystic changes.",NCI,"A tumor is an abnormal growth caused by an accumulation of cells, inflammation, or cystic changes in the body."
C0043210,"Human females as cultural, psychological, sociological, political, and economic entities.",MSH,"Women as multifaceted beings influenced by various factors such as culture, psychology, sociology, politics, and economics."
C0238767,Affecting both sides of the body or a matched pair of organs.,NCI,Bilateral impact pertains to a condition that affects paired organs or both sides of the body equally.
C0030797,The space or compartment surrounded by the pelvic girdle (bony pelvis). It is subdivided into the greater pelvis and LESSER PELVIS. The pelvic girdle is formed by the PELVIC BONES and SACRUM.,MSH,"The pelvic girdle surrounds the pelvic cavity, which is divided into the greater and lesser pelvis by bones."
C0439234,"A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.",NCI,"The medical keyword is ""year,"" referring to Earth's revolution around the sun, lasting approximately 365 days or one year."
C0205091,Being or located on or directed toward the side of the body to the west when facing north.,NCI,"On the left side of the body when facing forwards and looking towards the north, also known as lateral."
C0817096,"The upper part of the trunk between the NECK and the ABDOMEN. It contains the chief organs of the circulatory and respiratory systems. (From Stedman, 25th ed)",MSH,"The thorax is the area between the neck and abdomen, housing vital organs for circulation and respiration."
